,year,title,genre,avg_vote,movie_rating,duration,watchability
94,2005,Keep Your Distance,"Drama, Mystery, Romance",5.2,okay,94,really long movie
95,2005,Zerkalnye voyny. Otrazhenie pervoe,"Action, Crime, Drama",2.9,bad,109,really long movie
96,2005,The Trouble with Men and Women,"Drama, Romance",4.7,okay,80,avg length movie
97,2005,Sledge: The Untold Story,"Action, Comedy, Musical",3.5,okay,83,avg length movie
98,2005,Nowhere Man,"Comedy, Crime, Drama",3.7,okay,78,avg length movie
99,2005,Shopgirl,"Drama, Romance",6.3,good,106,really long movie
100,2005,Diamond Zero,"Sci-Fi, Action, Comedy",4.3,okay,85,avg length movie
101,2005,Beauty and the Beast,"Action, Adventure, Family",4.1,okay,90,no data
102,2006,Goose on the Loose,"Adventure, Comedy, Family",4.3,okay,87,avg length movie
103,2005,The Magic Roundabout,"Animation, Adventure, Come",5.2,okay,85,avg length movie
104,2005,Daltry Calhoun,"Comedy, Drama, Music",5.1,okay,100,really long movie
105,2005,Strike the Tent,"Action, Biography, Drama",5.3,okay,96,really long movie
106,2006,The Drop,"Action, Adventure, Fantasy",2.3,bad,88,avg length movie
107,2005,Hostage,"Action, Crime, Drama",6.6,good,113,really long movie
108,2005,Self Medicated,"Biography, Drama",5.7,okay,107,really long movie
109,2005,Unleashed,"Action, Crime, Drama",7.0,good,103,really long movie
110,2005,Dear Wendy,"Comedy, Crime, Drama",6.6,good,105,really long movie
111,2005,Manderlay,Drama,7.3,good,139,really long movie
112,2005,The PianoTuner of EarthQuakes,"Drama, Fantasy, Music",6.3,good,99,really long movie
113,2005,Äideistä parhain,"Drama, War",7.6,good,111,really long movie
114,2005,Fugitives Run,Comedy,3.1,okay,83,avg length movie
115,2006,The Good Shepherd,"Drama, History, Thriller",6.7,good,167,really long movie
116,2005,The Lost City,"Drama, Romance",6.6,good,144,really long movie
117,2006,Arthur et les Minimoys,"Animation, Adventure, Fami",6.0,okay,94,really long movie
118,2006,Open Window,Drama,6.1,good,97,really long movie
119,2005,Mangal Pandey: The Rising,"Biography, Drama, History",6.6,good,150,really long movie
120,2006,Superman Returns,"Action, Sci-Fi",6.0,okay,154,really long movie
121,2005,Waiting...,Comedy,6.8,good,94,really long movie
122,2005,Asylum,"Drama, Romance, Thriller",6.1,good,99,really long movie
123,2005,Die You Zombie Bastards!,"Comedy, Fantasy, Horror",4.4,okay,97,really long movie
124,2006,Freedomland,"Crime, Drama, Mystery",5.1,okay,113,really long movie
125,2005,Netaji Subhas Chandra Bose: The Forgotten Hero,"Biography, Drama, History",7.5,good,208,really long movie
126,2005,Slaughterhouse of the Rising Sun,"Comedy, Horror",3.7,okay,82,avg length movie
127,2006,Tajnata kniga,Drama,5.9,okay,94,really long movie
128,2005,An Unfinished Life,"Drama, Family, Romance",7.0,good,108,really long movie
129,2005,Zwarte zwanen,Drama,6.3,good,95,really long movie
130,2005,Madagascar,"Animation, Adventure, Come",6.9,good,86,avg length movie
131,2005,Tweek City,Drama,4.0,okay,86,avg length movie
132,2005,Cinderella Man,"Biography, Drama, History",8.0,good,144,really long movie
133,2006,Full Clip,"Action, Thriller",3.2,okay,95,really long movie
134,2005,The Crow: Wicked Prayer,"Action, Adventure, Comedy",3.0,okay,99,really long movie
135,2006,Day of Wrath,"Action, Adventure, Crime",5.5,okay,109,really long movie
136,2006,Der Liebeswunsch,"Drama, Romance",5.6,okay,112,really long movie
137,2005,The Game of Their Lives,"Drama, History, Sport",6.1,good,101,really long movie
138,2006,La science des rêves,"Comedy, Drama, Fantasy",7.3,good,105,really long movie
139,2005,The Brothers Grimm,"Action, Adventure, Comedy",5.9,okay,118,really long movie
140,2005,The Illustrated Family Doctor,"Comedy, Drama, Fantasy",5.8,okay,102,really long movie
141,2005,Lords of Dogtown,"Biography, Drama, Sport",7.1,good,107,really long movie
142,2006,"Wood & Stock: Sexo, Orégano e Rock'n'Roll","Animation, Comedy",6.2,good,81,avg length movie
143,2005,The Family Stone,"Comedy, Drama, Romance",6.3,good,103,really long movie
