,year,title,genre,avg_vote,movie_rating
345,2005,Kicking & Screaming,"Comedy, Family, Romance",5.6,okay
346,2005,The Weather Man,"Comedy, Drama",6.5,good
347,2005,The White Countess,"Drama, History, Romance",6.6,good
348,2005,Missing in America,"Drama, War",6.6,good
351,2005,The Amityville Horror,Horror,6.0,okay
353,2005,Trouble with Sex,"Drama, Romance",5.2,okay
354,2005,The Dying Gaul,"Drama, Romance",6.4,good
355,2005,Hooligans,"Crime, Drama, Sport",7.5,good
356,2005,How the Garcia Girls Spent Their Summer,"Comedy, Drama, Romance",6.3,good
357,2005,Lonesome Jim,"Comedy, Drama",6.6,good
358,2005,The Long Weekend,Comedy,5.2,okay
359,2005,Miss Congeniality 2: Armed & Fabulous,"Action, Comedy, Crime",5.1,okay
360,2005,Boo,Horror,4.2,okay
361,2005,Crash Landing,"Action, Crime, Drama",3.7,okay
362,2005,Fainaru fantajî sebun adobento chirudoren,"Animation, Action, Adventu",7.2,good
364,2005,The Godfather of Green Bay,Comedy,5.6,okay
366,2005,My Big Fat Independent Movie,Comedy,3.2,okay
367,2005,Le parfum de la dame en noir,"Comedy, Crime",5.7,okay
369,2005,The Legend of Zorro,"Action, Adventure, Romance",5.9,okay
370,2005,Duck,Drama,6.0,okay
371,2005,Inside Out,"Drama, Mystery, Thriller",5.4,okay
372,2005,Hitch,"Comedy, Romance",6.6,good
373,2005,Love for Rent,"Comedy, Romance",7.0,good
375,2005,The River King,"Drama, Mystery, Thriller",5.8,okay
376,2005,Store planer!,Comedy,5.4,okay
377,2005,The Vault,Action,1.9,bad
378,2005,Aurora Borealis,"Drama, Romance",6.7,good
379,2005,Batalla en el cielo,"Crime, Drama",5.6,okay
380,2005,Bee Season,"Drama, Family",5.5,okay
381,2005,Cold and Dark,"Crime, Horror, Thriller",4.0,okay
382,2005,The Constant Gardener,"Drama, Mystery, Romance",7.4,good
383,2005,The Iris Effect,"Mystery, Thriller, Drama",3.2,okay
384,2005,Prime,"Comedy, Drama, Romance",6.2,good
385,2005,The Roost,"Horror, Thriller",4.9,okay
388,2005,Caché,"Drama, Mystery, Thriller",7.3,good
389,2005,In Her Shoes,"Comedy, Drama, Romance",6.4,good
390,2005,King's Ransom,"Comedy, Crime",4.3,okay
391,2005,The L.A. Riot Spectacular,Comedy,4.9,okay
392,2005,Loverboy,"Drama, Romance",5.4,okay
393,2005,My Big Phat Hip Hop Family,Comedy,1.6,bad
395,2005,Paha maa,Drama,7.4,good
396,2005,River Queen,"Action, Adventure, Drama",6.0,okay
397,2005,Transporter 2,"Action, Thriller",6.3,good
398,2005,Beauty Shop,Comedy,5.5,okay
399,2005,"Va, vis et deviens",Drama,7.9,good
400,2005,Anklaget,Drama,7.0,good
402,2005,Brokeback Mountain,"Drama, Romance",7.7,good
403,2005,The Circle,"Drama, Mystery, Thriller",5.6,okay
404,2005,The Girl from Monday,"Action, Comedy, Sci-Fi",5.2,okay
405,2005,The Greatest Game Ever Played,"Biography, Drama, History",7.4,good
406,2005,Johnny Slade's Greatest Hits,"Comedy, Crime, Music",6.0,okay
408,2005,O Signo do Caos,Drama,6.7,good
411,2005,Budjenje iz mrtvih,Drama,6.5,good
413,2005,Deck Dogz,"Action, Adventure, Drama",4.9,okay
414,2005,Edison,"Action, Crime, Drama",5.3,okay
417,2005,Waqt: The Race Against Time,"Comedy, Drama, Family",6.8,good
419,2005,A Lot Like Love,"Comedy, Drama, Romance",6.6,good
420,2005,A Perfect Fit,"Crime, Drama, Romance",5.2,okay
422,2005,Three Dollars,Drama,6.2,good
423,2005,Adam and Eve,"Comedy, Drama, Romance",4.5,okay
424,2005,Confess,"Thriller, Drama",5.0,okay
425,2005,Mozart and the Whale,"Comedy, Drama, Romance",6.9,good
427,2005,When Do We Eat?,Comedy,5.9,okay
428,2005,Brick,"Action, Crime, Drama",7.3,good
429,2005,Coach Carter,"Biography, Drama, Sport",7.3,good
432,2005,Leef!,Drama,6.9,good
433,2005,The Nickel Children,Drama,5.5,okay
435,2005,Reeker,"Horror, Mystery, Thriller",5.2,okay
436,2005,Santa's Slay,"Comedy, Fantasy, Horror",5.3,okay
439,2005,The Third Wish,"Romance, Comedy",4.3,okay
441,2005,The Producers,"Comedy, Musical",6.3,good
442,2005,3 Needles,Drama,6.4,good
443,2005,Bab'Aziz,Drama,7.6,good
444,2005,Bye Bye Blackbird,Drama,5.8,okay
446,2005,Forty Shades of Blue,"Drama, Music, Romance",6.2,good
447,2005,Le courage d'aimer,"Comedy, Drama",5.8,okay
448,2005,States of Grace,Drama,6.8,good
449,2005,The Devil's Rejects,Horror,6.8,good
450,2005,House of 9,"Drama, Horror, Mystery",5.5,okay
451,2005,The Pacifier,"Action, Comedy, Drama",5.6,okay
452,2005,Truce,"Drama, Western",5.9,okay
453,2005,North Country,Drama,7.3,good
455,2005,Pit Fighter,Action,4.5,okay
456,2005,Maman Last Call,"Drama, Comedy",6.1,good
458,2005,Wedding Crashers,"Comedy, Romance",6.9,good
459,2005,Willenbrock,"Drama, Crime",6.8,good
461,2005,FAQs,Drama,5.8,okay
462,2005,Ice Princess,"Comedy, Drama, Family",6.0,okay
463,2005,The King,"Drama, Thriller",6.7,good
464,2005,Kisna: The Warrior Poet,"Drama, History, Musical",4.5,okay
465,2005,Nanny McPhee,"Comedy, Family, Fantasy",6.5,good
466,2005,Shadowboxer,"Action, Crime, Drama",5.5,okay
467,2005,House of Wax,Horror,5.3,okay
469,2005,The Skeleton Key,"Drama, Horror, Mystery",6.5,good
470,2005,Smile,"Adventure, Drama",6.3,good
473,2005,Drop Dead Sexy,"Comedy, Crime",5.0,okay
474,2005,Game Over,"Action, Drama",2.8,bad
475,2005,Man to Man,Drama,6.5,good
476,2005,Memoirs of a Geisha,"Drama, Romance",7.4,good
478,2005,Obaba,Drama,6.5,good
479,2005,"Travaux, on sait quand ça commence...",Comedy,5.2,okay
480,2005,Zemanovaload,Comedy,6.0,okay
481,2005,A fény ösvényei,Drama,6.9,good
482,2005,Derailed,"Crime, Drama, Thriller",6.6,good
483,2005,Devil's Highway,Thriller,3.5,okay
484,2005,Down in the Valley,"Drama, Romance, Thriller",6.4,good
486,2005,Throttle,"Action, Thriller",5.1,okay
487,2005,The Longest Yard,"Comedy, Crime, Sport",6.4,good
488,2005,Special Ed,Drama,6.7,good
489,2005,Rumor Has It...,"Comedy, Drama, Romance",5.5,okay
490,2005,Vampires: The Turning,"Action, Horror, Thriller",3.5,okay
491,2005,Nordeste,Drama,6.6,good
492,2005,Assault on Precinct 13,"Action, Crime, Drama",6.3,good
496,2005,Dead Meat,"Comedy, Horror",4.1,okay
497,2005,Down and Derby,"Comedy, Family",5.5,okay
498,2005,Duane Hopwood,"Comedy, Drama",6.6,good
500,2005,A History of Violence,"Crime, Drama, Thriller",7.4,good
501,2005,The Island,"Action, Sci-Fi, Thriller",6.8,good
502,2005,Je préfère qu'on reste amis,"Comedy, Drama, Romance",6.0,okay
503,2005,Lord of War,"Action, Crime, Drama",7.6,good
504,2005,The Man,"Action, Comedy, Crime",5.5,okay
506,2005,End of the Spear,"Adventure, Biography, Dram",6.8,good
507,2005,Ambulancen,"Drama, Thriller",5.2,okay
508,2005,Chanthupottu,"Comedy, Drama, Romance",6.6,good
509,2005,Bag det stille ydre,"Drama, Horror, Mystery",4.6,okay
510,2005,Die blaue Grenze,"Drama, Mystery, Romance",6.4,good
511,2005,Herbie Fully Loaded,"Adventure, Comedy, Family",4.8,okay
512,2005,The Ice Harvest,"Comedy, Crime, Drama",6.3,good
513,2005,Lepel,Drama,6.3,good
515,2005,"Tu vas rire, mais je te quitte",Comedy,5.0,okay
517,2005,C.R.A.Z.Y.,"Comedy, Drama",7.9,good
518,2005,The Baxter,"Comedy, Romance",6.5,good
519,2005,The Curse of El Charro,Horror,2.9,bad
520,2005,Say Uncle,"Comedy, Drama",5.5,okay
521,2005,Fierce People,"Drama, Thriller",6.5,good
524,2005,The Helix... Loaded,"Action, Adventure, Comedy",2.1,bad
525,2005,Der kleine Eisbär 2: Die geheimnisvolle Insel,"Animation, Adventure, Dram",5.6,okay
526,2005,Brooklyn Lobster,"Comedy, Drama",6.3,good
528,2005,Sin City,"Crime, Thriller",8.0,good
529,2005,Xiang ri kui,"Drama, Romance",7.2,good
530,2005,Tamara,"Drama, Fantasy, Horror",5.1,okay
532,2005,Æon Flux,"Action, Adventure, Crime",5.4,okay
533,2005,Avant qu'il ne soit trop tard,Comedy,5.4,okay
534,2005,Bab el web,Comedy,4.6,okay
535,2005,Beowulf & Grendel,"Action, Adventure, Drama",5.8,okay
536,2005,Chok-Dee,"Action, Drama",6.2,good
537,2005,Just Sex and Nothing Else,Comedy,6.3,good
538,2005,L'empire des loups,"Action, Crime, Drama",5.9,okay
539,2005,The Great New Wonderful,"Comedy, Drama, Romance",5.7,okay
540,2005,Hating Alison Ashley,Comedy,5.5,okay
541,2005,The Dark Hours,"Horror, Thriller",6.0,okay
542,2005,Iznogoud,Comedy,3.7,okay
544,2005,The New World,"Biography, Drama, History",6.7,good
545,2005,Ivkova slava,Comedy,7.2,good
547,2005,Unge Andersen,Drama,6.4,good
549,2005,The Big White,"Comedy, Crime, Drama",6.4,good
551,2005,Casanova,"Adventure, Comedy, Drama",6.5,good
552,2005,The Cave,"Action, Adventure, Horror",5.1,okay
554,2005,Chaos,"Action, Crime, Drama",6.5,good
